"","Acc_x","Acc_y","Acc_z","Mag_x","Mag_y","Mag_z","Date","Hours","Minutes","Seconds","Pitch.angle","ODBA","VeDBA","Event.no.","DateTime","Behaviours"
"1",0.659912,-0.0478516,0.803955,-0.241211,0.411865,0.797119,"27/2/2019",15,13,46,-39.3305703149115,0.120361,0.0734863,318650,2019-02-27 15:13:46,"Eating"
"2",0.623779,-0.0239258,0.791992,-0.243408,0.415283,0.794678,"27/2/2019",15,13,46,-38.2115387607834,0.125977,0.0825195,318651,2019-02-27 15:13:46,"Eating"
"3",0.599854,-0.0358887,0.743896,-0.241699,0.414795,0.793701,"27/2/2019",15,13,46,-38.849057058443,0.101807,0.0693359,318652,2019-02-27 15:13:46,"Eating"
"4",0.575928,-0.0358887,0.731934,-0.23999,0.414307,0.792725,"27/2/2019",15,13,46,-38.1642885245639,0.138428,0.0869141,318653,2019-02-27 15:13:46,"Eating"
"5",0.647949,-0.0358887,0.731934,-0.238037,0.413818,0.791748,"27/2/2019",15,13,46,-41.4829144584522,0.0881348,0.0637207,318654,2019-02-27 15:13:46,"Eating"
"6",0.647949,-0.119873,0.719971,-0.234375,0.412598,0.789795,"27/2/2019",15,13,46,-41.5969011632509,0.0600586,0.0371094,318655,2019-02-27 15:13:46,"Eating"
"7",0.599854,-0.119873,0.755859,-0.235352,0.412842,0.791016,"27/2/2019",15,13,46,-38.0897019486347,0.0664063,0.0449219,318656,2019-02-27 15:13:46,"Eating"
"8",0.611816,-0.0959473,0.779785,-0.236572,0.413086,0.79248,"27/2/2019",15,13,46,-37.908715939904,0.0603027,0.0405273,318657,2019-02-27 15:13:46,"Eating"
"9",0.623779,-0.0478516,0.755859,-0.237793,0.41333,0.793945,"27/2/2019",15,13,46,-39.4751979238274,0.0727539,0.0539551,318658,2019-02-27 15:13:46,"Eating"
"10",0.647949,-0.0598145,0.719971,-0.239014,0.413574,0.79541,"27/2/2019",15,13,46,-41.8881542563543,0.0773926,0.0507813,318659,2019-02-27 15:13:46,"Eating"
"11",0.683838,-0.0839844,0.731934,-0.240234,0.413818,0.796875,"27/2/2019",15,13,46,-42.8674371460991,0.0766602,0.0488281,318660,2019-02-27 15:13:46,"Eating"
