"","Acc_x","Acc_y","Acc_z","Mag_x","Mag_y","Mag_z","Date","Hours","Minutes","Seconds","Pitch.angle","ODBA","VeDBA","Event.no.","DateTime","Behaviours"
"1",-0.563965,-0.251953,0.791992,-0.529541,0.604248,0.770264,"27/2/2019",14,26,24,34.1598114366842,0.0874023,0.0554199,205815,2019-02-27 14:26:24,"Vigilance"
"2",-0.551758,-0.263916,0.767822,-0.530273,0.60376,0.77124,"27/2/2019",14,26,24,34.1991638690938,0.0637207,0.0368652,205816,2019-02-27 14:26:24,"Vigilance"
"3",-0.539795,-0.23999,0.755859,-0.531738,0.602539,0.773438,"27/2/2019",14,26,24,34.2416510829744,0.0878906,0.0568848,205817,2019-02-27 14:26:24,"Vigilance"
"4",-0.575928,-0.251953,0.743896,-0.532471,0.603027,0.773193,"27/2/2019",14,26,24,36.2521333304451,0.0344238,0.0310059,205818,2019-02-27 14:26:24,"Vigilance"
"5",-0.539795,-0.299805,0.755859,-0.533203,0.603516,0.772949,"27/2/2019",14,26,24,33.5776209350304,0.0620117,0.0412598,205819,2019-02-27 14:26:24,"Vigilance"
"6",-0.599854,-0.299805,0.755859,-0.533936,0.604004,0.772705,"27/2/2019",14,26,24,36.4160338696964,0.0478516,0.029541,205820,2019-02-27 14:26:24,"Vigilance"
"7",-0.599854,-0.263916,0.755859,-0.5354,0.605225,0.772217,"27/2/2019",14,26,24,36.8422868344447,0.0488281,0.0302734,205821,2019-02-27 14:26:24,"Vigilance"
"8",-0.587891,-0.263916,0.743896,-0.534668,0.60498,0.771729,"27/2/2019",14,26,24,36.6788450575344,0.0339355,0.0222168,205822,2019-02-27 14:26:24,"Vigilance"
"9",-0.539795,-0.287842,0.719971,-0.533691,0.604736,0.77124,"27/2/2019",14,26,24,34.844478038854,0.0720215,0.0480957,205823,2019-02-27 14:26:24,"Vigilance"
"10",-0.599854,-0.299805,0.767822,-0.532715,0.604248,0.770508,"27/2/2019",14,26,24,36.0446156279443,0.0578613,0.0334473,205824,2019-02-27 14:26:24,"Vigilance"
"11",-0.587891,-0.323975,0.779785,-0.530762,0.603516,0.769287,"27/2/2019",14,26,24,34.8462903958491,0.0830078,0.0529785,205825,2019-02-27 14:26:24,"Vigilance"
"12",-0.599854,-0.323975,0.743896,-0.530762,0.603271,0.770508,"27/2/2019",14,26,24,36.4754778290857,0.0668945,0.0466309,205826,2019-02-27 14:26:24,"Vigilance"
"13",-0.623779,-0.299805,0.719971,-0.530518,0.603027,0.771973,"27/2/2019",14,26,24,38.6535541975216,0.0900879,0.0559082,205827,2019-02-27 14:26:24,"Vigilance"
"14",-0.623779,-0.323975,0.743896,-0.530273,0.602539,0.773438,"27/2/2019",14,26,24,37.5525666362695,0.0917969,0.0617676,205828,2019-02-27 14:26:24,"Vigilance"
"15",-0.575928,-0.287842,0.707764,-0.529785,0.601807,0.776367,"27/2/2019",14,26,24,37.0081230870957,0.0480957,0.0415039,205829,2019-02-27 14:26:24,"Vigilance"
"16",-0.563965,-0.323975,0.695801,-0.529785,0.602051,0.775879,"27/2/2019",14,26,24,36.3077485231988,0.108154,0.0686035,205830,2019-02-27 14:26:24,"Vigilance"
"17",-0.599854,-0.311768,0.719971,-0.530029,0.602295,0.775391,"27/2/2019",14,26,24,37.4000606074328,0.0783691,0.0456543,205831,2019-02-27 14:26:24,"Vigilance"
"18",-0.575928,-0.299805,0.743896,-0.530273,0.602783,0.774658,"27/2/2019",14,26,24,35.6814113104197,0.0236816,0.017334,205832,2019-02-27 14:26:24,"Vigilance"
"19",-0.575928,-0.299805,0.779785,-0.530762,0.603516,0.773438,"27/2/2019",14,26,24,34.5814843962893,0.0529785,0.0371094,205833,2019-02-27 14:26:24,"Vigilance"
"20",-0.587891,-0.251953,0.767822,-0.530273,0.602783,0.773193,"27/2/2019",14,26,24,36.0356970775491,0.0629883,0.0402832,205834,2019-02-27 14:26:24,"Vigilance"
"21",-0.563965,-0.275879,0.767822,-0.529785,0.602051,0.772949,"27/2/2019",14,26,24,34.6536007563765,0.0473633,0.0285645,205835,2019-02-27 14:26:24,"Vigilance"
"22",-0.551758,-0.275879,0.779785,-0.529297,0.601318,0.772705,"27/2/2019",14,26,24,33.7056971180113,0.0734863,0.0463867,205836,2019-02-27 14:26:24,"Vigilance"
"23",-0.599854,-0.263916,0.755859,-0.528076,0.599854,0.772217,"27/2/2019",14,26,24,36.8422868344447,0.050293,0.0300293,205837,2019-02-27 14:26:24,"Vigilance"
"24",-0.599854,-0.263916,0.743896,-0.529541,0.601563,0.772217,"27/2/2019",14,26,24,37.2333386350892,0.0393066,0.0273438,205838,2019-02-27 14:26:24,"Vigilance"
"25",-0.587891,-0.275879,0.731934,-0.53125,0.603271,0.772217,"27/2/2019",14,26,24,36.9280363882855,0.0275879,0.0168457,205839,2019-02-27 14:26:24,"Vigilance"
"26",-0.563965,-0.311768,0.683838,-0.532715,0.605225,0.772217,"27/2/2019",14,26,24,36.8845010003454,0.105469,0.0688477,205840,2019-02-27 14:26:24,"Vigilance"
"27",-0.563965,-0.323975,0.707764,-0.536133,0.608887,0.772217,"27/2/2019",14,26,24,35.9243942247723,0.0935059,0.0561523,205841,2019-02-27 14:26:24,"Vigilance"
"28",-0.563965,-0.323975,0.719971,-0.53418,0.60791,0.772217,"27/2/2019",14,26,24,35.5392589385655,0.0820313,0.0493164,205842,2019-02-27 14:26:24,"Vigilance"
"29",-0.587891,-0.311768,0.695801,-0.532227,0.606934,0.772217,"27/2/2019",14,26,24,37.6340068854099,0.0795898,0.0561523,205843,2019-02-27 14:26:24,"Vigilance"
"30",-0.611816,-0.287842,0.707764,-0.530273,0.605713,0.772217,"27/2/2019",14,26,24,38.6858851069427,0.0678711,0.046875,205844,2019-02-27 14:26:24,"Vigilance"
