"","Acc_x","Acc_y","Acc_z","Mag_x","Mag_y","Mag_z","Date","Hours","Minutes","Seconds","Pitch.angle","ODBA","VeDBA","Event.no.","DateTime","Behaviours"
"29",-0.47998,-0.203857,0.86377,-0.563477,0.621582,0.611084,"27/2/2019",15,23,46,28.4055210649082,0.0324707,0.0219727,342515,2019-02-27 15:23:46,"Vigilance"
"30",-0.47998,-0.203857,0.875977,-0.563232,0.621582,0.611084,"27/2/2019",15,23,46,28.0877608192786,0.0437012,0.0300293,342516,2019-02-27 15:23:46,"Vigilance"
"31",-0.47998,-0.179932,0.86377,-0.562988,0.621338,0.611084,"27/2/2019",15,23,46,28.5463096429483,0.0556641,0.043457,342517,2019-02-27 15:23:46,"Vigilance"
"32",-0.47998,-0.251953,0.875977,-0.5625,0.621338,0.611084,"27/2/2019",15,23,46,27.7707390960878,0.0559082,0.0385742,342518,2019-02-27 15:23:46,"Vigilance"
"33",-0.47998,-0.21582,0.839844,-0.561768,0.62085,0.611084,"27/2/2019",15,23,46,28.9656901022647,0.0197754,0.0136719,342519,2019-02-27 15:23:46,"Vigilance"
"34",-0.47998,-0.21582,0.851807,-0.561768,0.62085,0.611084,"27/2/2019",15,23,46,28.6444571650366,0.0078125,0.00537109,342520,2019-02-27 15:23:46,"Vigilance"
"35",-0.47998,-0.203857,0.839844,-0.561523,0.62085,0.611084,"27/2/2019",15,23,46,29.0470823650546,0.0324707,0.0224609,342521,2019-02-27 15:23:46,"Vigilance"
"36",-0.47998,-0.203857,0.839844,-0.561279,0.62085,0.611084,"27/2/2019",15,23,46,29.0470823650546,0.0332031,0.0231934,342522,2019-02-27 15:23:46,"Vigilance"
"37",-0.47998,-0.203857,0.875977,-0.560791,0.62085,0.611084,"27/2/2019",15,23,46,28.0877608192786,0.0446777,0.0310059,342523,2019-02-27 15:23:46,"Vigilance"
"38",-0.47998,-0.203857,0.86377,-0.560547,0.621582,0.611328,"27/2/2019",15,23,46,28.4055210649082,0.0336914,0.0241699,342524,2019-02-27 15:23:46,"Vigilance"
"39",-0.47998,-0.203857,0.875977,-0.560303,0.622314,0.611572,"27/2/2019",15,23,46,28.0877608192786,0.0473633,0.0327148,342525,2019-02-27 15:23:46,"Vigilance"
"40",-0.491943,-0.263916,0.875977,-0.560059,0.623047,0.611816,"27/2/2019",15,23,47,28.2677613702335,0.0749512,0.0463867,342526,2019-02-27 15:23:47,"Vigilance"
"41",-0.515869,-0.287842,0.839844,-0.559814,0.623779,0.612061,"27/2/2019",15,23,47,30.1593140785319,0.108643,0.0720215,342527,2019-02-27 15:23:47,"Vigilance"
"42",-0.491943,-0.287842,0.839844,-0.55957,0.624512,0.612305,"27/2/2019",15,23,47,28.9914468755259,0.0842285,0.0627441,342528,2019-02-27 15:23:47,"Vigilance"
"43",-0.47998,-0.263916,0.851807,-0.559326,0.625244,0.612549,"27/2/2019",15,23,47,28.2910062160803,0.0407715,0.0368652,342529,2019-02-27 15:23:47,"Vigilance"
"44",-0.47998,-0.23999,0.839844,-0.560791,0.625,0.612549,"27/2/2019",15,23,47,28.7894740659034,0.0249023,0.0166016,342530,2019-02-27 15:23:47,"Vigilance"
"45",-0.491943,-0.251953,0.851807,-0.562256,0.624756,0.612549,"27/2/2019",15,23,47,28.9781348677937,0.0412598,0.029541,342531,2019-02-27 15:23:47,"Vigilance"
"46",-0.491943,-0.227783,0.851807,-0.563965,0.624268,0.612305,"27/2/2019",15,23,47,29.158232568045,0.017334,0.013916,342532,2019-02-27 15:23:47,"Vigilance"
"47",-0.503906,-0.21582,0.851807,-0.567139,0.623535,0.612061,"27/2/2019",15,23,47,29.8322386409112,0.0358887,0.0270996,342533,2019-02-27 15:23:47,"Vigilance"
"48",-0.503906,-0.227783,0.839844,-0.565674,0.623535,0.612061,"27/2/2019",15,23,47,30.0742199159587,0.0397949,0.0283203,342534,2019-02-27 15:23:47,"Vigilance"
"49",-0.491943,-0.21582,0.827881,-0.563965,0.623535,0.612305,"27/2/2019",15,23,47,29.898999723328,0.0449219,0.0275879,342535,2019-02-27 15:23:47,"Vigilance"
"50",-0.515869,-0.203857,0.851807,-0.5625,0.623535,0.612549,"27/2/2019",15,23,47,30.4974417460616,0.060791,0.043457,342536,2019-02-27 15:23:47,"Vigilance"
"51",-0.503906,-0.203857,0.815918,-0.559082,0.623535,0.613037,"27/2/2019",15,23,47,30.9289988503579,0.0805664,0.0473633,342537,2019-02-27 15:23:47,"Vigilance"
"52",-0.491943,-0.21582,0.851807,-0.558594,0.62207,0.612793,"27/2/2019",15,23,47,29.2417939664828,0.0258789,0.0166016,342538,2019-02-27 15:23:47,"Vigilance"
"53",-0.47998,-0.21582,0.815918,-0.558105,0.620605,0.612305,"27/2/2019",15,23,47,29.6273604413992,0.0437012,0.0339355,342539,2019-02-27 15:23:47,"Vigilance"
"54",-0.47998,-0.203857,0.803955,-0.557373,0.619141,0.612061,"27/2/2019",15,23,47,30.0583433079059,0.0671387,0.0493164,342540,2019-02-27 15:23:47,"Vigilance"
"55",-0.47998,-0.203857,0.839844,-0.556152,0.616211,0.611084,"27/2/2019",15,23,47,29.0470823650546,0.0307617,0.0236816,342541,2019-02-27 15:23:47,"Vigilance"
"56",-0.47998,-0.251953,0.851807,-0.557129,0.617676,0.611328,"27/2/2019",15,23,47,28.3842509636474,0.0300293,0.026123,342542,2019-02-27 15:23:47,"Vigilance"
"57",-0.47998,-0.251953,0.887939,-0.55835,0.619385,0.611816,"27/2/2019",15,23,47,27.4755880681578,0.0678711,0.0488281,342543,2019-02-27 15:23:47,"Vigilance"
"58",-0.47998,-0.227783,0.887939,-0.559326,0.621094,0.612061,"27/2/2019",15,23,47,27.6366062409583,0.0454102,0.041748,342544,2019-02-27 15:23:47,"Vigilance"
"59",-0.467773,-0.21582,0.875977,-0.561768,0.624512,0.613037,"27/2/2019",15,23,47,27.406584855261,0.0527344,0.034668,342545,2019-02-27 15:23:47,"Vigilance"
"60",-0.491943,-0.203857,0.86377,-0.561768,0.623535,0.612305,"27/2/2019",15,23,47,28.9996890997757,0.0498047,0.0297852,342546,2019-02-27 15:23:47,"Vigilance"
"61",-0.467773,-0.21582,0.86377,-0.561523,0.622314,0.611572,"27/2/2019",15,23,47,27.7172724157732,0.0419922,0.0258789,342547,2019-02-27 15:23:47,"Vigilance"
"62",-0.467773,-0.203857,0.86377,-0.561279,0.621338,0.61084,"27/2/2019",15,23,47,27.7922867010241,0.0549316,0.0322266,342548,2019-02-27 15:23:47,"Vigilance"
"63",-0.467773,-0.21582,0.86377,-0.560791,0.618896,0.609131,"27/2/2019",15,23,47,27.7172724157732,0.0449219,0.0285645,342549,2019-02-27 15:23:47,"Vigilance"
"64",-0.515869,-0.21582,0.839844,-0.561035,0.619629,0.609375,"27/2/2019",15,23,47,30.7490362082708,0.0424805,0.0344238,342550,2019-02-27 15:23:47,"Vigilance"
"65",-0.47998,-0.21582,0.815918,-0.561279,0.620361,0.609863,"27/2/2019",15,23,47,29.6273604413992,0.0273438,0.0205078,342551,2019-02-27 15:23:47,"Vigilance"
"66",-0.47998,-0.203857,0.827881,-0.561768,0.621094,0.610107,"27/2/2019",15,23,47,29.3774853481755,0.0229492,0.0185547,342552,2019-02-27 15:23:47,"Vigilance"
"67",-0.47998,-0.21582,0.839844,-0.5625,0.622559,0.611084,"27/2/2019",15,23,47,28.9656901022647,0.0187988,0.0124512,342553,2019-02-27 15:23:47,"Vigilance"
"68",-0.491943,-0.203857,0.839844,-0.5625,0.622559,0.61084,"27/2/2019",15,23,47,29.6496627944204,0.0510254,0.029541,342554,2019-02-27 15:23:47,"Vigilance"
"69",-0.467773,-0.227783,0.86377,-0.562744,0.622559,0.610352,"27/2/2019",15,23,47,27.6386417211215,0.0480957,0.041748,342555,2019-02-27 15:23:47,"Vigilance"
"70",-0.443848,-0.21582,0.851807,-0.562988,0.622559,0.610107,"27/2/2019",15,23,47,26.798611212333,0.0576172,0.0378418,342556,2019-02-27 15:23:47,"Vigilance"
"71",-0.455811,-0.203857,0.875977,-0.563477,0.622559,0.609131,"27/2/2019",15,23,47,26.8760275760328,0.0761719,0.0598145,342557,2019-02-27 15:23:47,"Vigilance"
"72",-0.491943,-0.203857,0.875977,-0.563477,0.622559,0.609375,"27/2/2019",15,23,47,28.677649435776,0.122559,0.0776367,342558,2019-02-27 15:23:47,"Vigilance"
"73",-0.47998,-0.203857,0.86377,-0.563721,0.622314,0.609863,"27/2/2019",15,23,47,28.4055210649082,0.108887,0.0690918,342559,2019-02-27 15:23:47,"Vigilance"
"74",-0.47998,-0.299805,0.851807,-0.563965,0.62207,0.610107,"27/2/2019",15,23,47,27.9916842832938,0.182129,0.110596,342560,2019-02-27 15:23:47,"Vigilance"
"75",-0.47998,-0.311768,0.851807,-0.564453,0.621582,0.611084,"27/2/2019",15,23,47,27.885770103514,0.209229,0.128418,342561,2019-02-27 15:23:47,"Vigilance"
"76",-0.467773,-0.299805,0.851807,-0.563477,0.620361,0.612061,"27/2/2019",15,23,47,27.3844011404608,0.200195,0.122314,342562,2019-02-27 15:23:47,"Vigilance"
"77",-0.455811,-0.275879,0.851807,-0.5625,0.619141,0.613037,"27/2/2019",15,23,47,26.979577144524,0.180176,0.110596,342563,2019-02-27 15:23:47,"Vigilance"
"78",-0.467773,-0.263916,0.815918,-0.561279,0.61792,0.614014,"27/2/2019",15,23,47,28.6117074222737,0.171387,0.125244,342564,2019-02-27 15:23:47,"Vigilance"
"79",-0.467773,-0.21582,0.839844,-0.559082,0.615234,0.616211,"27/2/2019",15,23,47,28.3445999221917,0.150146,0.131592,342565,2019-02-27 15:23:47,"Vigilance"
