"","Acc_x","Acc_y","Acc_z","Mag_x","Mag_y","Mag_z","Date","Hours","Minutes","Seconds","Pitch.angle","ODBA","VeDBA","Event.no.","DateTime","Behaviours"
"1",0.263916,-0.359863,1.07983,-0.342529,0.315186,0.566162,"27/2/2019",14,29,32,-13.0543875234559,0.66626,0.404785,213282,2019-02-27 14:29:32,"Vigilance"
"2",0.371826,-0.359863,1.05591,-0.347168,0.319824,0.557861,"27/2/2019",14,29,32,-18.4338704638161,0.754883,0.48877,213283,2019-02-27 14:29:32,"Vigilance"
"3",0.515869,-0.311768,0.911865,-0.351563,0.324219,0.549316,"27/2/2019",14,29,32,-28.1604260048437,0.742432,0.592529,213284,2019-02-27 14:29:32,"Vigilance"
"4",0.419922,-0.251953,0.887939,-0.36084,0.333496,0.532471,"27/2/2019",14,29,32,-24.4634886506511,0.611816,0.491455,213285,2019-02-27 14:29:32,"Vigilance"
"5",0.299805,-0.251953,0.86377,-0.369385,0.332275,0.527588,"27/2/2019",14,29,32,-18.4282424439231,0.523926,0.388916,213286,2019-02-27 14:29:32,"Vigilance"
"6",0.263916,-0.21582,0.791992,-0.37793,0.331055,0.522461,"27/2/2019",14,29,32,-17.8229710647149,0.535889,0.376709,213287,2019-02-27 14:29:32,"Vigilance"
"7",0.23999,-0.179932,0.707764,-0.386475,0.329834,0.517334,"27/2/2019",14,29,32,-18.1919941954434,0.575439,0.395996,213288,2019-02-27 14:29:32,"Vigilance"
"8",0.0959473,-0.0598145,0.803955,-0.403564,0.327148,0.50708,"27/2/2019",14,29,32,-6.78714155000745,0.385498,0.243408,213289,2019-02-27 14:29:32,"Vigilance"
"9",-0.191895,-0.0717773,1.10376,-0.411377,0.324219,0.508301,"27/2/2019",14,29,32,9.84223843591165,0.33667,0.224365,213290,2019-02-27 14:29:32,"Vigilance"
"10",-0.659912,-0.251953,1.28394,-0.419189,0.321289,0.509521,"27/2/2019",14,29,32,26.7643253398769,1.02905,0.663086,213291,2019-02-27 14:29:32,"Vigilance"
"11",-0.671875,-0.311768,1.2478,-0.427002,0.318359,0.510742,"27/2/2019",14,29,32,27.5820665720114,1.05811,0.659668,213292,2019-02-27 14:29:32,"Vigilance"
"12",0.0119629,-0.299805,1.2478,-0.442627,0.3125,0.513184,"27/2/2019",14,29,32,-0.534090076885379,0.681152,0.422363,213293,2019-02-27 14:29:32,"Vigilance"
"13",0.191895,-0.275879,1.15186,-0.448486,0.310547,0.513672,"27/2/2019",14,29,32,-9.20273811203996,0.74707,0.453857,213294,2019-02-27 14:29:32,"Vigilance"
"14",0.10791,-0.23999,1.11597,-0.45459,0.30835,0.51416,"27/2/2019",14,29,32,-5.40040070726602,0.593018,0.360352,213295,2019-02-27 14:29:32,"Vigilance"
"15",-0.0959473,-0.23999,0.983887,-0.460449,0.306152,0.514893,"27/2/2019",14,29,32,5.41210134485334,0.255371,0.151123,213296,2019-02-27 14:29:32,"Vigilance"
"16",-0.287842,-0.203857,0.875977,-0.472656,0.301758,0.516113,"27/2/2019",14,29,32,17.7469137437112,0.229004,0.149658,213297,2019-02-27 14:29:32,"Vigilance"
"17",-0.299805,0.0717773,0.839844,-0.483398,0.298096,0.522949,"27/2/2019",14,29,32,19.5794748329187,0.4104,0.256348,213298,2019-02-27 14:29:32,"Vigilance"
"18",-0.191895,0.263916,0.851807,-0.494385,0.294434,0.529785,"27/2/2019",14,29,32,12.1441781833579,0.489502,0.40625,213299,2019-02-27 14:29:32,"Vigilance"
"19",-0.0717773,0.311768,0.887939,-0.505127,0.290771,0.536865,"27/2/2019",14,29,32,4.36156505485677,0.55835,0.464111,213300,2019-02-27 14:29:32,"Vigilance"
"20",-0.203857,0,0.851807,-0.5271,0.283447,0.550781,"27/2/2019",14,29,32,13.4590505597747,0.240234,0.165283,213301,2019-02-27 14:29:32,"Vigilance"
"21",-0.227783,-0.0959473,0.851807,-0.535156,0.285889,0.55249,"27/2/2019",14,29,32,14.8813586343719,0.157471,0.0927734,213302,2019-02-27 14:29:32,"Vigilance"
"22",-0.203857,-0.21582,0.839844,-0.543213,0.28833,0.554443,"27/2/2019",14,29,32,13.2296361458738,0.0974121,0.0646973,213303,2019-02-27 14:29:32,"Vigilance"
"23",-0.143799,-0.287842,0.731934,-0.55127,0.290771,0.556396,"27/2/2019",14,29,32,10.3611953464571,0.333984,0.19873,213304,2019-02-27 14:29:32,"Vigilance"
"24",-0.191895,-0.455811,0.611816,-0.559326,0.293213,0.55835,"27/2/2019",14,29,32,14.1181454676778,0.587646,0.383789,213305,2019-02-27 14:29:32,"Vigilance"
"25",-0.527832,-0.383789,0.731934,-0.567383,0.295654,0.560303,"27/2/2019",14,29,32,32.5652728856683,0.608154,0.364746,213306,2019-02-27 14:29:32,"Vigilance"
"26",-1.17578,-0.287842,0.971924,-0.575439,0.298096,0.562256,"27/2/2019",14,29,32,49.2350527111348,1.1377,0.913086,213307,2019-02-27 14:29:32,"Vigilance"
"27",-1.30786,-0.23999,1.07983,-0.579834,0.29834,0.568359,"27/2/2019",14,29,32,49.775733691524,1.32202,1.04126,213308,2019-02-27 14:29:32,"Vigilance"
"28",-0.911865,-0.119873,1.07983,-0.584473,0.298584,0.574707,"27/2/2019",14,29,32,40.0066250225326,0.870117,0.645996,213309,2019-02-27 14:29:32,"Vigilance"
"29",-0.335938,-0.131836,0.935791,-0.588867,0.299072,0.581055,"27/2/2019",14,29,32,19.5691757879436,0.123047,0.0922852,213310,2019-02-27 14:29:32,"Vigilance"
"30",-0.299805,-0.179932,0.911865,-0.598145,0.299805,0.59375,"27/2/2019",14,29,32,17.8777537310326,0.130127,0.0795898,213311,2019-02-27 14:29:32,"Vigilance"
"31",-0.395996,-0.21582,0.887939,-0.602051,0.30127,0.593994,"27/2/2019",14,29,32,23.4297439399227,0.162842,0.0961914,213312,2019-02-27 14:29:32,"Vigilance"
"32",-0.515869,-0.203857,0.86377,-0.605957,0.302734,0.594482,"27/2/2019",14,29,32,30.1677594450737,0.240723,0.176025,213313,2019-02-27 14:29:32,"Vigilance"
"33",-0.563965,-0.203857,0.839844,-0.610107,0.304199,0.594727,"27/2/2019",14,29,32,33.1269646794168,0.277588,0.217041,213314,2019-02-27 14:29:32,"Vigilance"
"34",-0.359863,-0.299805,0.803955,-0.618164,0.307129,0.595703,"27/2/2019",14,29,32,22.7533177573158,0.197998,0.161621,213315,2019-02-27 14:29:32,"Vigilance"
"35",-0.419922,-0.407959,0.779785,-0.619629,0.309814,0.598389,"27/2/2019",14,29,32,25.5083653729506,0.37793,0.274414,213316,2019-02-27 14:29:32,"Vigilance"
"36",-0.467773,-0.407959,0.779785,-0.621338,0.3125,0.601318,"27/2/2019",14,29,32,27.9918756051401,0.405273,0.278564,213317,2019-02-27 14:29:32,"Vigilance"
"37",-0.491943,-0.395996,0.743896,-0.622803,0.315186,0.604248,"27/2/2019",14,29,32,30.2742095873184,0.424805,0.273193,213318,2019-02-27 14:29:32,"Vigilance"
"38",-0.539795,-0.3479,0.743896,-0.626221,0.320801,0.610107,"27/2/2019",14,29,32,33.3170032677092,0.396729,0.241211,213319,2019-02-27 14:29:32,"Vigilance"
"39",-0.563965,-0.227783,0.719971,-0.628906,0.320068,0.615967,"27/2/2019",14,29,32,36.7534971876399,0.305664,0.18335,213320,2019-02-27 14:29:32,"Vigilance"
"40",-0.575928,-0.167969,0.767822,-0.631592,0.319092,0.621826,"27/2/2019",14,29,32,36.232159940757,0.195313,0.146973,213321,2019-02-27 14:29:32,"Vigilance"
"41",-0.503906,-0.155762,0.719971,-0.634277,0.318115,0.627686,"27/2/2019",14,29,33,34.3749259446216,0.145752,0.105713,213322,2019-02-27 14:29:33,"Vigilance"
"42",-0.395996,-0.0959473,0.671875,-0.639893,0.316162,0.639648,"27/2/2019",14,29,33,30.2622778748009,0.253662,0.158447,213323,2019-02-27 14:29:33,"Vigilance"
"43",-0.419922,-0.0358887,0.647949,-0.641846,0.31665,0.643311,"27/2/2019",14,29,33,32.9063793212641,0.320068,0.19873,213324,2019-02-27 14:29:33,"Vigilance"
